course,geoLevel,geoName,sex,stage,value,sourceId
2024-2025,province,Córdoba,total,BACHILLERATO,383,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,total,FP BÁSICA,1,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,total,FP GRADO MEDIO,2,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,total,FP GRADO SUPERIOR,6,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,hombre,TOTAL,1308,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,hombre,E. INFANTIL 2.º CICLO,6,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,hombre,TOTAL PRIMARIA,549,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,hombre,E. Primaria 1.º,45,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,hombre,E. Primaria 2.º,64,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,hombre,E. Primaria 3.º,93,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,hombre,E. Primaria 4.º,105,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,hombre,E. Primaria 5.º,108,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,hombre,E. Primaria 6.º,134,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,hombre,TOTAL ESO,514,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,hombre,1º E.S.O.,114,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,hombre,2º E.S.O.,136,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,hombre,3º E.S.O.,133,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,hombre,4º E.S.O.,131,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,hombre,BACHILLERATO,232,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,hombre,FP BÁSICA,1,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,hombre,FP GRADO MEDIO,2,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,hombre,FP GRADO SUPERIOR,4,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,mujer,TOTAL,760,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,mujer,E. INFANTIL 2.º CICLO,0,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,mujer,TOTAL PRIMARIA,283,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,mujer,E. Primaria 1.º,15,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,mujer,E. Primaria 2.º,29,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,mujer,E. Primaria 3.º,54,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,mujer,E. Primaria 4.º,48,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,mujer,E. Primaria 5.º,60,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,mujer,E. Primaria 6.º,77,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,mujer,TOTAL ESO,324,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,mujer,1º E.S.O.,61,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,mujer,2º E.S.O.,85,educabase-otros-03-2024-2025
